replacement_id,order_id,customer_id,status,replacement_date
REP001,ORD5001,CUST1001,Completed,2026-08-15
REP002,ORD5002,CUST1002,Processing,2026-08-16
REP003,ORD5004,CUST1004,Completed,2026-08-17
REP004,ORD5006,CUST1006,Completed,2026-08-18
REP005,ORD5009,CUST1009,Processing,2026-08-19
REP006,ORD5014,CUST1014,Completed,2026-08-20
REP007,ORD5015,CUST1015,Completed,2026-08-21
REP008,ORD5017,CUST1017,Processing,2026-08-22
REP009,ORD5018,CUST1018,Completed,2026-08-23
REP010,ORD5020,CUST1020,Processing,2026-08-24
REP011,ORD5003,CUST1003,Rejected,2026-08-25
REP012,ORD5005,CUST1005,Rejected,2026-08-26
REP013,ORD5007,CUST1007,Completed,2026-08-27
REP014,ORD5008,CUST1008,Completed,2026-08-28
REP015,ORD5010,CUST1010,Rejected,2026-08-29
REP016,ORD5011,CUST1011,Rejected,2026-08-30
REP017,ORD5012,CUST1012,Completed,2026-08-31
REP018,ORD5013,CUST1013,Completed,2026-09-01
REP019,ORD5016,CUST1016,Completed,2026-09-02
REP020,ORD5019,CUST1019,Rejected,2026-09-03
